Time_ID,Hour,Minute
1404,900,13
538,300,22
373,1700,10
370,1900,35
79,400,25
382,1300,48
933,900,19
1298,1200,02
402,1300,15
275,1000,35
795,1800,33
1072,100,28
365,1400,20
381,1300,25
1191,1200,12
1109,900,39
90,1200,43
768,1300,23
967,2300,54
905,1700,57
1259,2000,43
182,100,54
1436,600,33
1041,2300,37
816,900,54
63,100,40
1352,1500,29
811,1900,08
1210,1800,26
1079,600,29
1073,1000,26
1201,2300,27
1382,2300,44
426,1000,20
326,1700,25
566,2300,01
119,2100,40
1294,1000,09
797,400,04
974,600,23
687,2300,03
235,2300,45
304,900,15
1336,400,06
1097,000,56
1002,900,09
513,400,18
271,1500,40
665,2300,29
528,1600,16
224,600,00
1069,500,22
43,1600,39
899,1900,53
421,1500,25
770,2300,47
553,500,59
366,1400,55
648,1600,04
406,2100,46
837,600,02
1250,400,32
1288,500,24
81,1900,14
1245,500,48
639,1700,31
751,100,46
57,600,49
815,300,17
54,1500,55
870,400,28
1419,500,32
530,1900,12
438,1400,25
109,2300,17
428,1100,23
247,700,00
384,1400,35
363,1100,25
1202,700,06
821,1500,12
546,700,34
95,2200,55
372,1400,05
986,500,18
825,1800,34
1024,900,41
805,1400,33
20,2200,47
37,1300,57
962,300,52
703,1700,13
997,1100,16
1048,1600,33
790,500,28
1243,200,24
649,1400,59
1427,700,17
311,300,50
605,600,48
288,500,05
904,700,36
187,500,07
1354,1800,59
743,1500,18
1023,1100,29
529,1800,03
1104,300,07
82,1300,01
504,1100,08
70,300,05
1248,800,04
69,2100,01
48,2200,02
189,2000,24
697,1600,08
1018,1800,42
1142,300,11
1236,2100,56
1127,200,32
1189,2300,46
531,1100,32
186,000,12
1226,2000,32
414,2300,40
183,2200,00
1139,500,16
809,1600,23
1106,200,46
265,400,40
573,1200,29
1317,300,32
1126,000,04
1301,400,42
248,700,20
583,1700,04
139,300,30
1235,800,28
18,2100,34
360,200,54
987,800,53
713,800,08
499,1800,12
745,2200,57
925,000,18
347,2200,37
1220,800,39
874,1700,06
1108,1800,53
871,2200,41
491,800,43
1219,1900,21
534,1800,55
1282,800,12
655,1100,43
250,1000,51
1123,1200,52
447,000,43
380,1200,50
549,1000,10
1285,400,59
1215,1800,09
215,900,30
1119,700,41
162,100,30
651,2000,38
1418,900,32
231,100,10
789,100,32
397,1300,55
346,2100,20
741,1200,31
1174,1200,11
114,200,38
1081,2100,26
742,1300,37
716,1700,08
329,1700,55
752,400,22
1181,1900,23
662,2000,41
913,1300,56
827,1000,23
213,1800,25
126,100,05
118,600,46
149,2000,55
593,1900,39
19,2200,15
988,2000,57
632,600,44
1272,900,07
1422,900,29
1160,1700,39
557,1800,37
459,2100,53
1217,000,53
1252,2000,59
706,1200,06
328,400,20
100,1800,27
787,2000,47
931,1300,21
507,1800,31
476,400,16
1149,500,41
623,1600,56
1417,900,58
727,1600,54
204,500,43
272,1900,42
1372,600,51
306,1900,40
178,2100,55
1373,600,31
799,600,53
782,200,58
159,900,11
554,1500,56
1128,800,59
501,2100,54
879,600,59
1192,1000,07
502,2300,05
1055,1900,01
450,1000,05
1342,800,29
49,1400,51
205,1600,41
462,2300,15
921,1600,43
1305,600,06
958,400,07
297,500,20
453,1500,27
1113,400,01
1398,500,57
469,1500,03
61,100,48
679,1400,57
1122,1500,21
440,2300,25
657,1400,12
527,1500,48
97,900,42
1091,100,42
556,600,18
858,2300,13
892,1700,33
659,1400,27
656,1900,16
515,1400,10
807,1100,27
1399,1400,31
309,1500,35
60,1400,47
709,1600,06
435,2300,48
1420,600,14
27,1400,45
217,1600,00
230,2100,15
493,1500,37
111,2100,48
123,1800,49
1200,1000,03
1267,300,54
955,200,26
645,1100,39
1269,1100,18
1359,700,32
1347,1100,37
1415,800,06
1353,700,28
192,1600,15
781,2100,19
1207,200,06
143,2000,30
412,2200,12
1039,200,04
650,1600,21
758,500,14
861,2000,36
33,800,30
711,2000,04
684,500,06
390,1100,06
140,500,00
762,300,03
116,300,58
1216,1100,04
820,1300,08
1112,200,36
613,2200,18
1263,700,19
108,2100,28
1228,2200,04
574,300,13
96,2300,42
191,300,42
225,200,30
845,700,05
833,700,24
45,1700,00
1211,1100,57
1057,1300,54
1356,800,24
1363,200,11
681,000,06
222,100,35
814,1100,41
173,800,10
912,1000,53
458,1900,25
835,2200,43
1065,1900,31
1033,200,39
759,1000,43
1321,000,16
259,2200,53
1173,700,56
541,800,51
606,1000,41
1299,400,44
1118,700,22
85,2000,27
1322,1800,47
77,800,26
908,1100,55
1377,1700,41
969,1800,39
942,1300,13
754,2000,06
1244,1300,11
210,800,16
898,1100,47
105,1300,29
1340,700,38
485,1000,55
1325,1800,57
1376,1200,21
561,900,28
1043,100,06
245,1300,45
1362,1300,39
753,1200,56
496,1000,12
396,1300,43
771,1200,23
1175,300,24
739,200,56
750,1900,33
169,200,50
274,000,10
1358,400,52
1179,700,54
324,000,26
86,1200,33
1060,000,24
228,1800,00
777,700,48
947,1300,04
127,1200,35
161,100,39
1076,2100,22
1296,400,26
1042,600,52
357,2000,45
637,400,09
766,1800,21
124,100,18
1341,600,54
847,1000,39
443,1000,18
243,2000,10
1087,400,34
1271,1300,58
1360,1000,04
1371,900,34
1375,1000,02
928,300,09
1125,1200,44
1140,300,31
611,100,22
1392,000,31
1229,300,37
300,200,45
198,000,51
729,000,33
1348,900,22
290,1800,35
525,1900,58
176,600,05
779,1500,22
707,1700,22
338,500,45
630,1600,52
1105,2300,32
1394,1000,33
929,600,42
509,2000,51
616,400,58
353,1700,20
1153,2300,07
1246,100,53
876,1500,58
1255,600,58
220,2300,30
331,900,50
916,1500,39
80,1400,29
1423,600,39
596,2300,11
1432,500,53
420,1500,07
588,1400,53
856,700,11
179,400,03
1260,900,52
1012,1400,02
643,1900,46
689,500,35
866,1600,48
609,600,25
1164,1400,14
1315,1500,46
880,1200,48
1100,1500,44
826,1900,54
137,500,08
1231,2100,17
1284,2100,11
439,2100,05
1028,400,38
506,1600,35
788,1500,17
320,2100,50
1050,1500,01
514,500,55
305,2300,50
277,1400,38
521,1500,33
1421,600,16
950,1600,29
264,000,49
24,1400,43
1233,1400,18
313,600,10
330,400,13
286,1500,15
401,1200,24
180,1100,05
492,1100,03
894,1800,16
776,2200,59
949,2300,53
536,1600,03
544,1600,58
699,2200,07
640,2100,07
46,1600,42
1212,500,39
344,1600,44
524,1100,35
980,1400,39
800,1700,48
875,800,34
419,1100,10
887,2100,52
337,300,40
202,1400,49
890,1300,31
994,300,29
358,2200,10
617,500,02
1159,300,01
1238,200,02
1412,700,31
226,2200,30
1151,800,32
943,2200,16
1290,300,56
130,200,28
1084,1800,14
1319,1300,33
915,200,34
1367,700,09
164,1800,29
1148,1000,57
1209,1300,27
633,100,37
937,2100,33
1276,1700,51
452,1100,45
773,800,14
864,800,22
865,1100,51
888,000,08
167,400,46
784,000,28
834,700,26
411,2000,02
575,800,44
1121,100,33
408,800,46
851,200,18
470,2000,18
1000,2200,26
56,300,39
194,1200,03
1067,000,22
1240,1300,06
364,1300,10
572,1200,27
615,200,35
1222,1200,54
13,2200,20
1345,1300,16
400,100,08
1150,1700,44
966,000,38
93,1200,01
1278,000,32
675,2200,51
844,000,14
868,400,56
282,1700,14
704,1800,18
708,000,34
1021,1000,47
287,1800,45
680,2000,29
903,100,27
1017,1700,12
973,1700,28
1274,1100,49
1408,800,18
1025,1900,07
388,400,50
237,2000,35
166,2000,14
1302,600,56
468,900,20
909,1800,23
1381,900,16
1161,1000,29
591,100,16
608,2000,12
692,900,14
1258,300,21
1218,100,14
772,200,53
280,2200,45
212,1000,00
1349,900,36
335,200,08
1184,200,12
719,2000,08
1328,900,26
276,300,35
644,200,14
852,1700,03
922,1200,46
1213,1300,51
1303,1000,27
661,1700,26
1311,100,47
1265,1900,02
1049,2300,09
705,100,51
882,1900,13
367,1600,50
1425,900,01
1332,500,47
451,1000,25
1214,2300,22
952,900,03
35,100,45
302,1500,45
1331,400,36
185,2000,53
683,000,59
831,1500,43
255,400,30
128,600,20
996,1700,29
945,100,57
1391,1000,31
26,2300,34
560,800,42
902,1000,37
635,1700,18
746,1400,16
638,500,27
323,500,25
200,1900,56
1249,2100,59
959,900,56
791,1400,06
1410,600,37
436,600,35
1254,500,31
631,1900,44
298,1500,50
110,1500,30
526,2300,02
146,2300,18
355,1900,11
1295,600,13
580,900,48
345,1900,50
590,1600,13
836,2300,38
1239,500,37
1177,2100,42
567,500,12
454,1600,27
1329,700,03
700,400,11
251,1600,25
239,500,10
1088,1500,09
563,1400,34
378,700,13
895,900,44
944,1700,53
214,1400,00
465,700,15
343,1500,05
1312,500,51
154,700,01
1203,1500,11
582,1400,41
532,1400,36
431,1800,51
1138,1100,01
946,200,21
676,2300,51
1034,1100,21
932,2000,21
838,1600,19
1027,2300,57
227,1600,30
522,1600,46
976,2200,09
403,1300,35
862,2200,28
1361,300,44
1085,2200,34
1185,800,36
1136,1100,12
1247,400,29
55,200,00
1058,2200,33
1107,800,01
1264,1300,18
1186,1100,14
1380,700,58
488,1800,10
336,300,14
441,300,16
1102,1800,06
780,2100,12
23,2100,37
1059,2200,38
315,2200,58
1416,800,56
550,1000,59
757,2100,27
604,2100,31
135,2200,46
1170,2200,32
1110,2200,22
196,2100,09
511,300,48
738,200,43
156,800,40
208,000,01
995,1200,38
846,700,42
50,100,15
292,1900,05
221,000,20
877,100,13
317,000,40
193,1900,03
1193,1200,19
786,1100,59
41,1800,30
256,1200,05
660,1300,14
1428,700,44
938,2000,01
798,1100,53
349,800,20
242,1000,45
620,400,48
796,000,36
395,900,25
475,2100,25
1368,400,54
587,700,52
489,2000,39
58,100,25
1016,300,18
1388,900,02
542,900,24
1020,200,17
83,100,00
339,900,04
3,1900,28
600,1000,14
968,200,49
6,1900,34
602,1200,09
1338,1000,16
15,1700,11
1030,2000,16
982,1300,49
1266,1700,46
369,1900,19
612,1200,58
1157,1000,34
112,1800,32
404,1700,50
956,1200,42
165,2000,42
65,1200,15
1374,900,38
295,200,16
387,2000,40
1120,1700,56
1396,900,18
1369,1300,22
603,1200,13
1384,600,34
471,2300,36
1426,600,32
340,900,55
238,100,55
930,1000,21
1117,2300,26
584,1700,24
669,100,41
12,1500,28
78,1900,09
1232,100,01
1068,300,46
98,400,05
1339,1000,08
1089,1500,41
36,900,12
1004,300,23
32,2300,00
1190,400,19
1355,600,22
448,000,55
690,900,08
39,1500,26
500,1900,52
828,1400,54
732,1600,11
1309,600,03
1395,1400,56
533,1600,17
748,500,58
157,1600,07
540,500,23
1152,1600,38
565,1500,24
270,2300,59
120,400,33
8,1700,30
664,2300,14
375,1900,15
62,1400,24
1433,500,49
785,600,28
682,600,09
195,500,33
731,1500,52
722,100,59
1387,1700,36
586,1900,48
726,1400,22
1019,1500,54
31,2300,16
1435,700,07
1090,1500,13
778,1100,24
562,1400,08
233,800,15
579,700,37
595,2100,49
1281,1300,26
478,1600,05
1132,1400,04
626,1400,32
102,900,40
755,2200,19
1306,2100,39
16,1100,17
965,2100,57
535,300,51
